CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT,RAD_1,RAD_2,RAD_3,RAD_4,RAD_5,RAD_6,RAD_7,RAD_8,RAD_24,MEDV,LOGMEDV
-0.4197819386460082,0.2856536973238832,-1.2879094989577453,-0.27259856706992697,-0.14421743255530384,0.4136718893017582,-0.12001341619804971,0.14021360349292913,-0.6666082090210986,-1.353192224459534,0.4410519326070333,-1.0755623045678657,1,0,0,0,0,0,0,0,0,24.0,3.2188758248682006
-0.4173392644935285,-0.4872916013172126,-0.5933810131002404,-0.27259856706992697,-0.7402622069004928,0.19427445318162773,0.3671664185317746,0.5571598750882429,-0.9873294849630007,-0.47535214038706697,0.4410519326070333,-0.49243936573529473,0,1,0,0,0,0,0,0,0,21.6,3.1179499062782403
-0.4173415919581807,-0.4872916013172126,-0.5933810131002404,-0.27259856706992697,-0.7402622069004928,1.2827136817256513,-0.2658117608982161,0.5571598750882429,-0.9873294849630007,-0.47535214038706697,0.3964269940902562,-1.208727398772419,0,1,0,0,0,0,0,0,0,34.7,3.5751506887855933
-0.4167504159365229,-0.4872916013172126,-1.306877713907635,-0.27259856706992697,-0.8352838375932043,1.0163025092940638,-0.8098885106329835,1.0777366189304816,-1.1061151427192608,-0.036432098350833615,0.4161628391345312,-1.3615168226492227,0,0,1,0,0,0,0,0,0,33.4,3.5380565643793527
-0.41248184576439534,-0.4872916013172126,-1.306877713907635,-0.27259856706992697,-0.8352838375932043,1.2285766520336718,-0.5111797068570326,1.0777366189304816,-1.1061151427192608,-0.036432098350833615,0.4410519326070333,-1.0265014803872408,0,0,1,0,0,0,0,0,0,36.2,3.616308761279101
-0.4170436764826996,-0.4872916013172126,-1.306877713907635,-0.27259856706992697,-0.8352838375932043,0.20709638126656965,-0.35115713340563054,1.0777366189304816,-1.1061151427192608,-0.036432098350833615,0.4105710163719868,-1.0433223343920266,0,0,1,0,0,0,0,0,0,28.7,3.391147045808654
-0.41024282476898266,0.028005264443517915,-0.47665353648553366,-0.27259856706992697,-0.26515405343693565,-0.3884109453452123,-0.07022861556872491,0.8392439220209291,-0.5775189657039037,-1.353192224459534,0.4267982667417241,-0.03126761843742037,0,0,0,0,1,0,0,0,0,22.9,3.173878458937465
-0.4036956667023551,0.028005264443517915,-0.47665353648553366,-0.27259856706992697,-0.26515405343693565,-0.1604655571684531,0.9788082548349111,1.024637886132401,-0.5775189657039037,-1.353192224459534,0.4410519326070333,0.9107002058305784,0,0,0,0,1,0,0,0,0,27.1,3.3357695763397
-0.39593473581960736,0.028005264443517915,-0.47665353648553366,-0.27259856706992697,-0.26515405343693565,-0.9312059009411202,1.11749448515946,1.0871964647915542,-0.5775189657039037,-1.353192224459534,0.3284479722710873,2.421773590593827,0,0,0,0,1,0,0,0,0,16.5,2.8622008809294686
-0.40072931300313125,0.028005264443517915,-0.47665353648553366,-0.27259856706992697,-0.26515405343693565,-0.39980821475405154,0.6160904216784,1.3296347255527103,-0.5775189657039037,-1.353192224459534,0.3293251209397216,0.6233439499154899,0,0,0,0,1,0,0,0,0,18.9,2.990719731730447
-0.3943462411944836,0.028005264443517915,-0.47665353648553366,-0.27259856706992697,-0.26515405343693565,0.13158947143301958,0.9147992254543503,1.2129791389041071,-0.5775189657039037,-1.353192224459534,0.3930280429992978,1.0929261242157569,0,0,0,0,1,0,0,0,0,15.0,2.772588722239781
-0.4068470538414286,0.028005264443517915,-0.47665353648553366,-0.27259856706992697,-0.26515405343693565,-0.392684921373528,0.509408706044132,1.1559348422544233,-0.5775189657039037,-1.353192224459534,0.4410519326070333,0.08647835959607948,0,0,0,0,1,0,0,0,0,18.9,2.990719731730447
-0.40960393572195486,0.028005264443517915,-0.47665353648553366,-0.27259856706992697,-0.26515405343693565,-0.5636439625060975,-1.0517003994039908,0.7871434644142178,-0.5775189657039037,-1.353192224459534,0.37088003911627837,0.42850239102672216,0,0,0,0,1,0,0,0,0,21.7,3.122364924487357
-0.34723021050775255,-0.4872916013172126,-0.4372580131280701,-0.27259856706992697,-0.14421743255530384,-0.47816444193981206,-0.24091936058355373,0.4337540466694267,-0.6012760972551556,1.2803280277578666,0.4410519326070333,-0.6157922951037232,0,0,0,1,0,0,0,0,0,20.4,3.0633909220278057
